Date,Capture_Method,Location,County,Counter,Bear_ID,Body_Region,Ixodes_scapularis,Dermacenter_variabilis,Other_Adult,Non-Adults
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,E,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,F,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,G,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,H,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,I,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,J,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,K,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,L,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,M,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,N,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,O,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,P,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,A,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,B,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,C,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,D,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,E,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,F,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,G,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,H,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,I,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,J,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,K,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,L,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,M,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,N,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,O,0,0,0,0
8/14/2018,Trap,Lawrence Township,Clearfield,Erika Machtinger,40798,P,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,A,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,B,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,C,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,D,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,E,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,F,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,G,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,H,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,I,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,J,0,0,0,1
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,K,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,L,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,M,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,N,0,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,O,1,0,0,0
8/15/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,35918,P,2,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,A,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,B,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,C,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,D,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,E,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,F,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,G,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,H,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,I,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,J,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,K,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,L,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,M,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,N,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,O,0,0,0,0
8/20/2018,Trap,Liberty Township,McKean,Hannah Greenberg,51676,P,0,0,0,0
8/25/2018,Trap,Cooper Township,Clearfield,Hannah Greenberg,52040,A,0,0,0,0
8/25/2018,Trap,Cooper Township,Clearfield,Hannah Greenberg,52040,B,0,0,0,0
8/25/2018,Trap,Cooper Township,Clearfield,Hannah Greenberg,52040,C,0,0,0,0
8/25/2018,Trap,Cooper Township,Clearfield,Hannah Greenberg,52040,D,0,0,0,0
8/25/2018,Trap,Cooper Township,Clearfield,Hannah Greenberg,52040,E,0,0,0,0
8/25/2018,Trap,Cooper Township,Clearfield,Hannah Greenberg,52040,F,0,0,0,0
